OGC_FID,dossiernr,voorwerp_van_aanvraag,klasse,naam_inrichting,straat_inrichting,huisnr_inrichting,huisnr_tot_inrichting,bus_inrichting,district_inrichting,postnr_inrichting,gemeente_inrichting,kadastergegevens,adres_nr
105,19876,de exploitatie van een nieuwe inrichting,1,Samga,Boerinnestraat,2,,,AN,2030,Antwerpen,11807_G_1332_P_000_15,Boerinnestraat  2
106,19876,de exploitatie van een nieuwe inrichting,1,Samga,Boerinnestraat,2,,,AN,2030,Antwerpen,11807_G_1331_X_000_00,Boerinnestraat  2
107,19876,de exploitatie van een nieuwe inrichting,1,Samga,Boerinnestraat,2,,,AN,2030,Antwerpen,11807_G_1331_T_000_00,Boerinnestraat  2
108,19876,de exploitatie van een nieuwe inrichting,1,Samga,Boerinnestraat,2,,,AN,2030,Antwerpen,11807_G_1338_A_000_23,Boerinnestraat  2
109,19877,de exploitatie van een nieuwe inrichting,2,Goudblomme vzw,Oever,14,,,AN,2000,Antwerpen,11804_D_3389_L_000_00,Oever  14
110,19881,de exploitatie van een nieuwe inrichting,1,,Oostkaai,9,,,ME,2170,Antwerpen,11422_C_0293_Z_005_00,Oostkaai  9
111,19882,de exploitatie van een nieuwe inrichting,1,Carrosserie Krekels Franken,Heirmanstraat,59,,,ME,2170,Antwerpen,11422_C_0423_T_010_00,Heirmanstraat  59
112,19883,de exploitatie van een nieuwe inrichting,1,Truyens en Zonen,Oostkaai,24,,,ME,2170,Antwerpen,11422_C_0276_C_003_00,Oostkaai  24
113,19884,de exploitatie van een nieuwe inrichting,2,Michielsen Lodewijk,Anselmostraat,43,,,AN,2018,Antwerpen,11810_K_2760_M_007_00,Anselmostraat  43
114,19885,de exploitatie van een nieuwe inrichting,2,Beenhouwerij Albert,Gasstraat,122,,,AN,2060,Antwerpen,11805_E_0490_E_023_00,Gasstraat  122
115,19886,de exploitatie van een nieuwe inrichting,2,Pauwels Martha,Sint-Jansplein,35,,,AN,2060,Antwerpen,11805_E_0523_Z_000_00,Sint-Jansplein  35
116,19887,de exploitatie van een nieuwe inrichting,2,Kärcher nv,Kernenergiestraat,14,16,,WI,2610,Antwerpen,11463_D_0326_W_002_00,Kernenergiestraat  14
117,19888,de exploitatie van een nieuwe inrichting,1,Ditmar,Carnotstraat,56,,,AN,2060,Antwerpen,11808_H_1018_B_000_00,Carnotstraat  56
118,19889,de exploitatie van een nieuwe inrichting,2,,Markgravelei,41,,,AN,2018,Antwerpen,11810_K_1780_E_002_00,Markgravelei  41
119,19889,de exploitatie van een nieuwe inrichting,2,,Markgravelei,41,,,AN,2018,Antwerpen,11810_K_1780_F_002_00,Markgravelei  41
120,19891,de exploitatie van een nieuwe inrichting,1,,Van Duyststraat,52,,,DE,2100,Antwerpen,11012_A_0016_E_015_00,Van Duyststraat  52
121,19891,de exploitatie van een nieuwe inrichting,1,,Van Duyststraat,52,,,DE,2100,Antwerpen,11012_A_0016_Y_016_00,Van Duyststraat  52
122,19892,de exploitatie van een nieuwe inrichting,1,,Mechanicalaan,6,8,,WI,2610,Antwerpen,11463_D_0176_G_003_00,Mechanicalaan  6
123,19893,de exploitatie van een nieuwe inrichting,1,,Boomsesteenweg,364,,,WI,2610,Antwerpen,11462_A_0373_R_000_00,Boomsesteenweg  364
124,19894,de exploitatie van een nieuwe inrichting,1,,Bikschotelaan,311,,,BO,2140,Antwerpen,11313_B_0877_L_005_00,Bikschotelaan  311
125,19895,de exploitatie van een nieuwe inrichting,0,,Oudebareellei,60,,,ME,2170,Antwerpen,11423_B_0308_L_006_00,Oudebareellei  60
126,19896,de exploitatie van een nieuwe inrichting,2,Geerts Patrick,Moeshofstraat,150,,,ME,2170,Antwerpen,11422_C_0132_M_003_00,Moeshofstraat  150
127,19897,de exploitatie van een nieuwe inrichting,1,Belgian Pakhoed,Oosterweelsteenweg,,,,AN,2030,Antwerpen,,
128,19898,de exploitatie van een nieuwe inrichting,2,De Decker Dirk,Sint-Bernardsesteenweg,585,,,HO,2660,Antwerpen,11019_B_0185_N_004_00,Sint-Bernardsesteenweg  585
129,19899,de exploitatie van een nieuwe inrichting,1,Stefens Industries,Noorderlaan,107,,,AN,2030,Antwerpen,11807_G_1671_S_000_00,Noorderlaan  107
130,19901,"het veranderen van een inrichting, met precisering dat het betreft",2,,Conterscherp,130,,,ZA,2040,Antwerpen,11820_A_0174_C_000_00,Conterscherp  130
131,19901,"het veranderen van een inrichting, met precisering dat het betreft",2,,Conterscherp,130,,,ZA,2040,Antwerpen,11820_A_0140_A_000_00,Conterscherp  130
132,19902,de exploitatie van een nieuwe inrichting,0,Debord Alexander,Rolwagenstraat,38,46,,AN,2018,Antwerpen,11806_F_1221_A_006_00,Rolwagenstraat  38
133,19903,de exploitatie van een nieuwe inrichting,2,,Moerelei,12,32,,WI,2610,Antwerpen,11463_D_0241_B_000_00,Moerelei  12
134,19904,de exploitatie van een nieuwe inrichting,1,,Slachthuislaan,9,,,AN,2060,Antwerpen,11807_G_0367_L_004_00,Slachthuislaan  9
135,19905,"het veranderen van een inrichting, met precisering dat het betreft",1,Belgian Pakhoed,Oosterweelsteenweg,,,,AN,2030,Antwerpen,,
136,19906,"het veranderen van een inrichting, met precisering dat het betreft",1,Belgian Pakhoed,Oosterweelsteenweg,,,,AN,2030,Antwerpen,,
137,19907,"het veranderen van een inrichting, met precisering dat het betreft",1,Universitaire Instelling Antwerpen,Universiteitsplein,1,,,WI,2610,Antwerpen,11051_C_0068_K_004_00,Universiteitsplein  1
138,19907,"het veranderen van een inrichting, met precisering dat het betreft",1,Universitaire Instelling Antwerpen,Universiteitsplein,1,,,WI,2610,Antwerpen,11051_C_0068_M_003_00,Universiteitsplein  1
139,19907,"het veranderen van een inrichting, met precisering dat het betreft",1,Universitaire Instelling Antwerpen,Universiteitsplein,1,,,WI,2610,Antwerpen,11051_C_0054_E_000_00,Universiteitsplein  1
140,19907,"het veranderen van een inrichting, met precisering dat het betreft",1,Universitaire Instelling Antwerpen,Universiteitsplein,1,,,WI,2610,Antwerpen,11051_C_0048_E_000_00,Universiteitsplein  1
141,19907,"het veranderen van een inrichting, met precisering dat het betreft",1,Universitaire Instelling Antwerpen,Universiteitsplein,1,,,WI,2610,Antwerpen,11051_C_0039_A_002_00,Universiteitsplein  1
142,19907,"het veranderen van een inrichting, met precisering dat het betreft",1,Universitaire Instelling Antwerpen,Universiteitsplein,1,,,WI,2610,Antwerpen,11051_C_0038_R_002_00,Universiteitsplein  1
143,19907,"het veranderen van een inrichting, met precisering dat het betreft",1,Universitaire Instelling Antwerpen,Universiteitsplein,1,,,WI,2610,Antwerpen,11051_C_0048_G_000_00,Universiteitsplein  1
144,19907,"het veranderen van een inrichting, met precisering dat het betreft",1,Universitaire Instelling Antwerpen,Universiteitsplein,1,,,WI,2610,Antwerpen,11051_C_0048_F_000_00,Universiteitsplein  1
145,19907,"het veranderen van een inrichting, met precisering dat het betreft",1,Universitaire Instelling Antwerpen,Universiteitsplein,1,,,WI,2610,Antwerpen,11051_C_0048_H_000_00,Universiteitsplein  1
146,19907,"het veranderen van een inrichting, met precisering dat het betreft",1,Universitaire Instelling Antwerpen,Universiteitsplein,1,,,WI,2610,Antwerpen,11051_C_0048_D_000_00,Universiteitsplein  1
147,19908,de exploitatie van een nieuwe inrichting,2,Neetens Roland,Paardenmarkt,41,,,AN,2000,Antwerpen,11802_B_0470_C_000_00,Paardenmarkt  41
148,19909,de exploitatie van een nieuwe inrichting,1,Alschrijn,Groenenhoekstraat,19b,,,BE,2600,Antwerpen,11302_A_0295_W_003_00,Groenenhoekstraat  19b
149,19911,de exploitatie van een nieuwe inrichting,2,Jacobs Filip,Sint-Bernardsesteenweg,868,870,,HO,2660,Antwerpen,11019_B_0212_X_008_00,Sint-Bernardsesteenweg  868
150,19912,de melding van een nieuwe inrichting,3,Mols Fernand Fotogravuur FM,Cornelis Schutstraat,28,,5,DE,2100,Antwerpen,11343_A_0568_W_003_00,Cornelis Schutstraat  28
151,19915,het hernieuwen van een vergunning voor een bestaande inrichting,2,Algemene Aannemingen Ibens,Lamorinièrestraat,159,164,,AN,2018,Antwerpen,11806_F_1317_M_012_00,Lamorinièrestraat  159
152,19915,het hernieuwen van een vergunning voor een bestaande inrichting,2,Algemene Aannemingen Ibens,Lamorinièrestraat,159,164,,AN,2018,Antwerpen,11806_F_1317_N_012_00,Lamorinièrestraat  159
153,19915,het hernieuwen van een vergunning voor een bestaande inrichting,2,Algemene Aannemingen Ibens,Lamorinièrestraat,159,164,,AN,2018,Antwerpen,11806_F_1317_P_012_00,Lamorinièrestraat  159
154,19915,het hernieuwen van een vergunning voor een bestaande inrichting,2,Algemene Aannemingen Ibens,Lamorinièrestraat,159,164,,AN,2018,Antwerpen,11806_F_1317_R_010_00,Lamorinièrestraat  159
155,19915,het hernieuwen van een vergunning voor een bestaande inrichting,2,Algemene Aannemingen Ibens,Lamorinièrestraat,159,164,,AN,2018,Antwerpen,11806_F_1307_C_007_00,Lamorinièrestraat  159
156,19916,de exploitatie van een nieuwe inrichting,2,Chaffart,Boomgaardstraat,224,226,,BE,2600,Antwerpen,11003_A_0117_R_007_00,Boomgaardstraat  224
157,19919,de melding van een nieuwe inrichting,3,Hendrickx Frank,Schomstraat,43,,,BE,2600,Antwerpen,11303_C_0264_V_015_00,Schomstraat  43
158,19921,de exploitatie van een nieuwe inrichting,2,Laboleen,Wetstraat,45,,,AN,2060,Antwerpen,11805_E_0585_N_000_00,Wetstraat  45
159,19922,het hernieuwen van een vergunning voor een bestaande inrichting,2,Katoen Natie,Wilmarsdonksteenweg,,,,AN,2030,Antwerpen,11814_B_0041_V_000_02,
160,19923,de melding van verandering van een bestaande inrichting derde klasse die na verandering in de derde klasse blijft ingedeeld en die geen milieutechnische eenheid vormt met een inrichting vergund als klasse 1 of klasse 2,0,Katoen Natie,Schenkeldijk,,,,AN,2030,Antwerpen,11807_G_1733_C_000_00,
161,19924,de melding van een nieuwe inrichting,3,Huysmans Peter,Secretaris Meyerlei,26,,,ME,2170,Antwerpen,11423_B_0288_V_005_00,Secretaris Meyerlei  26
162,19925,de melding van een nieuwe inrichting,3,Chapwerken A. De Cock,Coöperatielaan,89,1,,HO,2660,Antwerpen,11019_B_0179_L_004_00,Coöperatielaan  89
163,19927,de melding van een nieuwe inrichting,3,Vlaamse Vervoermaatschappij,Frederik van Eedenplein,,,,AN,2050,Antwerpen,11813_N_9999___000_00,
164,19928,de melding van een nieuwe inrichting,3,Wereldwijd,Arthur Goemaerelei,69,,,AN,2018,Antwerpen,11810_K_1903_K_003_00,Arthur Goemaerelei  69
165,19929,de melding van een nieuwe inrichting,3,Wils Leopold,Antwerpsebaan,424,,,AN,2040,Antwerpen,11820_B_0419_C_009_00,Antwerpsebaan  424
166,19931,het hernieuwen van een vergunning voor een bestaande inrichting,2,Imalso,*Brouwersvliet/Imalsoplein,10,,,AN,2000,Antwerpen,11002_A_0179_C_000_00,*Brouwersvliet/Imalsoplein  10
167,19931,het hernieuwen van een vergunning voor een bestaande inrichting,2,Imalso,*Brouwersvliet/Imalsoplein,10,,,AN,2000,Antwerpen,11813_N_0884_G_000_00,*Brouwersvliet/Imalsoplein  10
168,19932,"het veranderen van een inrichting, met precisering dat het betreft",1,Esso,Polderdijkweg,3,,,AN,2030,Antwerpen,11814_A_0038_L_000_00,Polderdijkweg  3
169,19932,"het veranderen van een inrichting, met precisering dat het betreft",1,Esso,Polderdijkweg,3,,,AN,2030,Antwerpen,11814_A_0051_F_000_00,Polderdijkweg  3
170,19932,"het veranderen van een inrichting, met precisering dat het betreft",1,Esso,Polderdijkweg,3,,,AN,2030,Antwerpen,11814_A_0120_T_000_00,Polderdijkweg  3
171,19932,"het veranderen van een inrichting, met precisering dat het betreft",1,Esso,Polderdijkweg,3,,,AN,2030,Antwerpen,11814_A_0134_F_003_00,Polderdijkweg  3
172,19932,"het veranderen van een inrichting, met precisering dat het betreft",1,Esso,Polderdijkweg,3,,,AN,2030,Antwerpen,11814_A_0134_G_003_00,Polderdijkweg  3
173,19933,de exploitatie van een nieuwe inrichting,2,Keerbergens Transportbedrijf,Nieuwelandenweg,5B,,,AN,2030,Antwerpen,11817_F_0906_H_000_00,Nieuwelandenweg  5B
174,19934,de melding van een nieuwe inrichting,3,Seaport Terminals,Blauweweg,247,255,,AN,2030,Antwerpen,11814_A_0269_A_007_00,Blauweweg  247
175,19934,de melding van een nieuwe inrichting,3,Seaport Terminals,Blauweweg,247,255,,AN,2030,Antwerpen,11814_B_0041_B_007_00,Blauweweg  247
176,19934,de melding van een nieuwe inrichting,3,Seaport Terminals,Blauweweg,247,255,,AN,2030,Antwerpen,11814_B_0041_A_007_00,Blauweweg  247
177,19935,de melding van verandering van een bestaande inrichting derde klasse die na verandering in de derde klasse blijft ingedeeld en die geen milieutechnische eenheid vormt met een inrichting vergund als klasse 1 of klasse 2,3,Katoen Natie,Oosterweelsteenweg,,,,AN,2030,Antwerpen,11807_G_1754_D_000_00,
178,19936,de melding van een nieuwe inrichting,3,Katoen Natie,Noorderlaan,700,,,AN,2030,Antwerpen,11818_E_0211_V_000_00,Noorderlaan  700
179,19936,de melding van een nieuwe inrichting,3,Katoen Natie,Noorderlaan,700,,,AN,2030,Antwerpen,11818_E_0211_X_000_00,Noorderlaan  700
180,19936,de melding van een nieuwe inrichting,3,Katoen Natie,Noorderlaan,700,,,AN,2030,Antwerpen,11818_E_0211_Y_000_00,Noorderlaan  700
181,19937,de melding van een nieuwe inrichting,3,Kerkfabriek Sint-Jozef,Boekenberglei,207,,,DE,2100,Antwerpen,11346_B_0544_S_000_00,Boekenberglei  207
182,19938,de melding van een nieuwe inrichting,3,,Drakenhoflaan,246,,,DE,2100,Antwerpen,11346_B_0704_K_000_00,Drakenhoflaan  246
183,19938,de melding van een nieuwe inrichting,3,,Drakenhoflaan,246,,,DE,2100,Antwerpen,11346_B_0699_Z_000_00,Drakenhoflaan  246
184,19939,"het veranderen van een inrichting, met precisering dat het betreft",2,,Clara Snellingsstraat,33,43,,DE,2100,Antwerpen,11343_A_0568_W_003_00,Clara Snellingsstraat  33
185,19941,de exploitatie van een nieuwe inrichting,1,Indaver,Poldervlietweg,,,,AN,2030,Antwerpen,11818_D_0080_B_000_00,
186,19941,de exploitatie van een nieuwe inrichting,1,Indaver,Poldervlietweg,,,,AN,2030,Antwerpen,11818_D_0028_C_000_00,
187,19942,"de mededeling van een kleine verandering van een bestaande inrichting tweede klasse, omvattende",2,Hessenatie,Leopolddok,,,,AN,2030,Antwerpen,11815_C_0231_H_005_00,
188,19942,"de mededeling van een kleine verandering van een bestaande inrichting tweede klasse, omvattende",2,Hessenatie,Leopolddok,,,,AN,2030,Antwerpen,11815_C_0231_K_005_00,
189,19942,"de mededeling van een kleine verandering van een bestaande inrichting tweede klasse, omvattende",2,Hessenatie,Leopolddok,,,,AN,2030,Antwerpen,11815_C_0231_L_005_00,
190,19942,"de mededeling van een kleine verandering van een bestaande inrichting tweede klasse, omvattende",2,Hessenatie,Leopolddok,,,,AN,2030,Antwerpen,11815_C_0231_M_005_00,
191,19942,"de mededeling van een kleine verandering van een bestaande inrichting tweede klasse, omvattende",2,Hessenatie,Leopolddok,,,,AN,2030,Antwerpen,11815_C_0231_N_005_00,
192,19942,"de mededeling van een kleine verandering van een bestaande inrichting tweede klasse, omvattende",2,Hessenatie,Leopolddok,,,,AN,2030,Antwerpen,11815_C_0231_P_005_00,
193,19942,"de mededeling van een kleine verandering van een bestaande inrichting tweede klasse, omvattende",2,Hessenatie,Leopolddok,,,,AN,2030,Antwerpen,11815_C_0231_R_005_00,
194,19942,"de mededeling van een kleine verandering van een bestaande inrichting tweede klasse, omvattende",2,Hessenatie,Leopolddok,,,,AN,2030,Antwerpen,11815_C_0231_X_005_00,
195,19943,de exploitatie van een nieuwe inrichting,2,Roelands Eduard,Bleekhofstraat,99,,,BO,2140,Antwerpen,11006_A_0349_C_015_00,Bleekhofstraat  99
196,19944,de exploitatie van een nieuwe inrichting,2,Plastinova,Belcrownlaan,40,,,DE,2100,Antwerpen,11012_A_0265_S_000_00,Belcrownlaan  40
197,19945,de exploitatie van een nieuwe inrichting,2,Garage Kerschot,Antwerpsebaan,107,,,BD,2040,Antwerpen,11819_B_0636_H_000_00,Antwerpsebaan  107
198,19945,de exploitatie van een nieuwe inrichting,2,Garage Kerschot,Antwerpsebaan,107,,,BD,2040,Antwerpen,11819_B_0638_K_000_00,Antwerpsebaan  107
199,19945,de exploitatie van een nieuwe inrichting,2,Garage Kerschot,Antwerpsebaan,107,,,BD,2040,Antwerpen,11819_B_0638_L_000_00,Antwerpsebaan  107
200,19946,"het veranderen van een inrichting, met precisering dat het betreft",1,Union Minière,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0552_Z_002_00,Adolf Greinerstraat  14
201,19946,"het veranderen van een inrichting, met precisering dat het betreft",1,Union Minière,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0557_F_004_00,Adolf Greinerstraat  14
202,19946,"het veranderen van een inrichting, met precisering dat het betreft",1,Union Minière,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0243_E_003_00,Adolf Greinerstraat  14
203,19947,de exploitatie van een nieuwe inrichting,1,Ippa Bank,Brusselstraat,45,,,AN,2018,Antwerpen,11811_L_3835_M_002_00,Brusselstraat  45
204,19948,"het veranderen van een inrichting, met precisering dat het betreft",2,Garage Lucas,Merksemsesteenweg,149,,,DE,2100,Antwerpen,11012_A_0133_D_005_00,Merksemsesteenweg  149
205,19949,de exploitatie van een nieuwe inrichting,2,Argentor Essayeurs,Lange Herentalsestraat,52,,,AN,2018,Antwerpen,11808_H_1175_W_009_00,Lange Herentalsestraat  52
206,19951,de melding van een nieuwe inrichting,3,I.M.E.A.,Herentalsebaan,419,421,,DE,2100,Antwerpen,11345_B_0224_S_002_00,Herentalsebaan  419
207,19952,de melding van een nieuwe inrichting,3,Evag,Kortrijkstraat,64,,,BO,2140,Antwerpen,11312_A_0024_H_051_00,Kortrijkstraat  64
208,19953,de melding van een nieuwe inrichting,3,Evag,Prins Leopoldstraat,53,,,BO,2140,Antwerpen,11006_A_0300_Z_005_00,Prins Leopoldstraat  53
209,19954,de melding van een nieuwe inrichting,3,Evag,Wijnegemstraat,41,59,,BO,2140,Antwerpen,11312_A_0018_Z_015_00,Wijnegemstraat  41
210,19955,de melding van een nieuwe inrichting,3,Evag,Helmstraat,101,,,BO,2140,Antwerpen,11312_A_0002_Y_006_00,Helmstraat  101
211,19956,de melding van een nieuwe inrichting,3,Evag,Sint-Erasmusstraat,50,,,BO,2140,Antwerpen,11006_A_0490_N_007_00,Sint-Erasmusstraat  50
212,19957,de melding van een nieuwe inrichting,3,Evag,Luitenant Naeyaertplein,28,,,BO,2140,Antwerpen,11006_A_0320_D_014_00,Luitenant Naeyaertplein  28
213,19958,de melding van een nieuwe inrichting,3,Evag,Blijde-Inkomststraat,1,,,BO,2140,Antwerpen,11006_A_0624_S_000_00,Blijde-Inkomststraat  1
214,19959,de melding van een nieuwe inrichting,3,Evag,Luitenant Lippenslaan,36,,,BO,2140,Antwerpen,11006_A_0225_H_014_00,Luitenant Lippenslaan  36
215,19962,"het veranderen van een inrichting, met precisering dat het betreft",1,Industrial Coating & Construction,Braziliëstraat,28,30,,AN,2000,Antwerpen,11807_G_0126_M_016_02,Braziliëstraat  28
216,19963,de exploitatie van een nieuwe inrichting,1,Progas,Deurnestraat,300,,,,2640,Antwerpen,11002_A_9999___000_00,Deurnestraat  300
217,19963,de exploitatie van een nieuwe inrichting,1,Progas,Deurnestraat,300,,,,2640,Antwerpen,11346_B_0772_H_000_00,Deurnestraat  300
218,19963,de exploitatie van een nieuwe inrichting,1,Progas,Deurnestraat,300,,,,2640,Antwerpen,11346_B_0773_M_002_00,Deurnestraat  300
219,19963,de exploitatie van een nieuwe inrichting,1,Progas,Deurnestraat,300,,,,2640,Antwerpen,11346_B_0773_N_003_00,Deurnestraat  300
220,19963,de exploitatie van een nieuwe inrichting,1,Progas,Deurnestraat,300,,,,2640,Antwerpen,11346_B_0773_S_003_00,Deurnestraat  300
221,19963,de exploitatie van een nieuwe inrichting,1,Progas,Deurnestraat,300,,,,2640,Antwerpen,11346_B_0777_V_002_00,Deurnestraat  300
222,19964,het hernieuwen van een vergunning voor een bestaande inrichting,1,Texaco Belgium,Doornstraat,226,,,WI,2610,Antwerpen,11463_D_0360_B_003_00,Doornstraat  226
223,19965,de exploitatie van een nieuwe inrichting,2,Veludec,Sint-Jacobsmarkt,71,,,AN,2000,Antwerpen,11802_B_1531_D_000_00,Sint-Jacobsmarkt  71
224,19966,"het veranderen van een inrichting, met precisering dat het betreft",1,Degussa Antwerpen,Tijsmanstunnel-West,,,,AN,2040,Antwerpen,11818_F_0114_B_000_00,
225,19967,"het veranderen van een inrichting, met precisering dat het betreft",1,Van Wellen Stevedoring,Moerstraat,9,,,AN,2040,Antwerpen,11818_E_0211_M_002_00,Moerstraat  9
226,19968,de exploitatie van een nieuwe inrichting,1,Union Minière,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0244_C_005_00,Adolf Greinerstraat  14
227,19968,de exploitatie van een nieuwe inrichting,1,Union Minière,Adolf Greinerstraat,14,,,HO,2660,Antwerpen,11382_C_0557_E_004_00,Adolf Greinerstraat  14
228,19969,het hernieuwen van een vergunning voor een bestaande inrichting,2,Inwes,Leugenberg,160,,,EK,2180,Antwerpen,11014_H_0288_L_000_00,Leugenberg  160
229,19969,het hernieuwen van een vergunning voor een bestaande inrichting,2,Inwes,Leugenberg,160,,,EK,2180,Antwerpen,11014_H_0288_M_000_00,Leugenberg  160
230,19972,de melding van een nieuwe inrichting,3,I.M.E.A.,Dorpstraat,32,,,EK,2180,Antwerpen,11364_F_0519_M_000_00,Dorpstraat  32
231,19973,de exploitatie van een nieuwe inrichting,2,Depaire Edmond,Boomsesteenweg,801,803,,WI,2610,Antwerpen,11463_D_0419_C_002_00,Boomsesteenweg  801
232,19974,springstoffen klasse 2 overname,2,Herlegem,Amerikalei,122,,,AN,2000,Antwerpen,11811_L_3702_W_002_00,Amerikalei  122
233,19976,de exploitatie van een nieuwe inrichting,1,Rentoclean,Leon Bonnetweg,,,,AN,2030,Antwerpen,11814_C_0106_G_004_00,
234,19977,de exploitatie van een nieuwe inrichting,1,Givadeg,Adolf Greinerstraat,,,,HO,2660,Antwerpen,11382_C_0010_W_002_00,
235,19977,de exploitatie van een nieuwe inrichting,1,Givadeg,Adolf Greinerstraat,,,,HO,2660,Antwerpen,11382_C_0010_Y_002_00,
236,19978,de exploitatie van een nieuwe inrichting,1,Van Der Gucht Adolf,Adolf Greinerstraat,,,,HO,2660,Antwerpen,,
237,19979,het hernieuwen van een vergunning voor een bestaande inrichting,1,Tabaknatie,Antwerpsebaan,,,,AN,2040,Antwerpen,11818_C_0062_F_000_00,
238,19979,het hernieuwen van een vergunning voor een bestaande inrichting,1,Tabaknatie,Antwerpsebaan,,,,AN,2040,Antwerpen,11818_C_0062_F_000_07,
239,19981,de melding van een nieuwe inrichting,3,Kazmi Mushtaq,Carnotstraat,134,,1,AN,2060,Antwerpen,11808_H_1066_E_000_00,Carnotstraat  134
240,19982,de melding van een nieuwe inrichting,3,Heymans & Co,Schroeilaan,13,,,HO,2660,Antwerpen,11382_A_0298_V_000_00,Schroeilaan  13
241,19983,de melding van een nieuwe inrichting,3,Van Deun-Schoeters,Slachthuislaan,70,,,AN,2060,Antwerpen,11807_G_0333_N_002_00,Slachthuislaan  70
242,19984,de melding van een nieuwe inrichting,3,Goeminne Peter,Kapelstraat,185,,,HO,2660,Antwerpen,11382_C_0255_K_017_00,Kapelstraat  185
243,19985,de melding van een nieuwe inrichting,3,Carrosserie Edmond De Moor,Turnhoutsebaan,164,168,,DE,2100,Antwerpen,11345_B_0040_R_005_00,Turnhoutsebaan  164
244,19985,de melding van een nieuwe inrichting,3,Carrosserie Edmond De Moor,Turnhoutsebaan,164,168,,DE,2100,Antwerpen,11345_B_0040_P_005_00,Turnhoutsebaan  164
245,19985,de melding van een nieuwe inrichting,3,Carrosserie Edmond De Moor,Turnhoutsebaan,164,168,,DE,2100,Antwerpen,11345_B_0040_X_004_00,Turnhoutsebaan  164
246,19986,de melding van een nieuwe inrichting,3,Familia Sint-Rochus,Karel Govaertsstraat,53,,,DE,2100,Antwerpen,11346_B_0475_R_018_00,Karel Govaertsstraat  53
247,19986,de melding van een nieuwe inrichting,3,Familia Sint-Rochus,Karel Govaertsstraat,53,,,DE,2100,Antwerpen,11346_B_0475_S_018_00,Karel Govaertsstraat  53
248,19986,de melding van een nieuwe inrichting,3,Familia Sint-Rochus,Karel Govaertsstraat,53,,,DE,2100,Antwerpen,11346_B_0475_X_019_00,Karel Govaertsstraat  53
249,19987,de melding van een nieuwe inrichting,3,Academie,Stuivenbergplein,7,,,AN,2060,Antwerpen,11805_E_0421_A_009_00,Stuivenbergplein  7
250,19988,de melding van een nieuwe inrichting,3,Rosy Blue,Hoveniersstraat,53,,127,AN,2018,Antwerpen,11808_H_1182_A_019_00,Hoveniersstraat  53
251,19991,de melding van een nieuwe inrichting,3,Kempenaers Robert,Ekerseveldslagstraat,11,,,AN,2030,Antwerpen,11817_F_0829_W_004_00,Ekerseveldslagstraat  11
252,19992,de melding van een nieuwe inrichting,3,Abarent,Steenovenstraat,47,,,BD,2040,Antwerpen,11819_C_0046_S_000_00,Steenovenstraat  47
253,19992,de melding van een nieuwe inrichting,3,Abarent,Steenovenstraat,47,,,BD,2040,Antwerpen,11819_C_0046_T_000_00,Steenovenstraat  47
254,19993,de exploitatie van een nieuwe inrichting,2,Alpas,Droogdokkenweg,2,10,,AN,2030,Antwerpen,11807_G_9999___000_00,Droogdokkenweg  2
255,19994,wijzigen van de exploitatievoorwaarden,1,BASF Antwerpen,Scheldelaan,600,,,AN,2040,Antwerpen,11820_A_0001_G_000_02,Scheldelaan  600
256,19995,het hernieuwen van een vergunning voor een bestaande inrichting,2,Bakkerij Goossens,Apollostraat,150,,A,BE,2600,Antwerpen,11302_A_0070_D_023_00,Apollostraat  150
257,19995,het hernieuwen van een vergunning voor een bestaande inrichting,2,Bakkerij Goossens,Apollostraat,150,,A,BE,2600,Antwerpen,11302_A_0070_X_022_00,Apollostraat  150
258,19996,de melding van een nieuwe inrichting,3,Van Esbroeck Jan,Van Kerckhovenstraat,15,,,AN,2060,Antwerpen,11805_E_0212_R_013_00,Van Kerckhovenstraat  15
259,19997,de melding van een nieuwe inrichting,3,Luyckx Francois,Jaak Lindersstraat,12,,,EK,2180,Antwerpen,11364_F_0048_W_003_00,Jaak Lindersstraat  12
260,19997,de melding van een nieuwe inrichting,3,Luyckx Francois,Jaak Lindersstraat,12,,,EK,2180,Antwerpen,11364_F_0048_H_005_00,Jaak Lindersstraat  12
261,19998,de exploitatie van een nieuwe inrichting,1,Garage Veroost,Veltwijcklaan,60,,,EK,2180,Antwerpen,11364_F_0356_C_002_00,Veltwijcklaan  60
262,19999,de melding van een nieuwe inrichting,3,Van Hoebeeck Nadine,Nieuwstad,6,,,AN,2000,Antwerpen,11803_C_0699_F_000_00,Nieuwstad  6
263,20001,bodemsanering,0,Vereniging van Mede-eigenaars Regent III,De Roest d' Alkemadelaan,9,11,,BE,2600,Antwerpen,11003_A_0228_G_000_00,De Roest d' Alkemadelaan  9
264,20002,bodemsanering,0,Vereniging van mede-eigenaars Regent V,De Roest d' Alkemadelaan,5,7,,BE,2600,Antwerpen,11003_A_0221_C_000_00,De Roest d' Alkemadelaan  5
265,20003,bodemsanering,0,Photogravure De Schutter,Venusstraat,23,,,AN,2000,Antwerpen,11802_B_0958_F_000_00,Venusstraat  23
