OGC_FID,dossiernr,voorwerp_van_aanvraag,klasse,naam_inrichting,straat_inrichting,huisnr_inrichting,huisnr_tot_inrichting,bus_inrichting,district_inrichting,postnr_inrichting,gemeente_inrichting,kadastergegevens,adres_nr
277,20013,de melding van een nieuwe inrichting,3,Kunos,Bist,28b,,,EK,2180,Antwerpen,11364_F_0241_K_005_00,Bist  28b
278,20014,bodemsanering,0,Smeets nv,Ullensstraat,25,,,WI,2610,Antwerpen,11051_C_0237_F_011_00,Ullensstraat  25
279,20014,bodemsanering,0,Smeets nv,Ullensstraat,25,,,WI,2610,Antwerpen,11051_C_0237_W_009_00,Ullensstraat  25
280,20015,bodemsanering,0,Group Govaert nv,Kerkstraat,141,,,AN,2060,Antwerpen,11805_E_0736_F_000_00,Kerkstraat  141
281,20015,bodemsanering,0,Group Govaert nv,Kerkstraat,141,,,AN,2060,Antwerpen,11805_E_0745_H_000_00,Kerkstraat  141
282,20015,bodemsanering,0,Group Govaert nv,Kerkstraat,141,,,AN,2060,Antwerpen,11805_E_0734_D_000_00,Kerkstraat  141
283,20015,bodemsanering,0,Group Govaert nv,Kerkstraat,141,,,AN,2060,Antwerpen,11805_E_0734_X_000_00,Kerkstraat  141
284,20016,de exploitatie van een tijdelijke inrichting,1,Watco Recycling & Trading nv,Noorderlaan,600,,,AN,2030,Antwerpen,11815_D_0267_F_000_00,Noorderlaan  600
285,20016,de exploitatie van een tijdelijke inrichting,1,Watco Recycling & Trading nv,Noorderlaan,600,,,AN,2030,Antwerpen,11815_D_0267_G_000_00,Noorderlaan  600
286,20017,de melding van de overname van een vergunde inrichting,2,,Lange Lozanastraat,170,,,,2018,Antwerpen,11810_K_1626_W_003_00,Lange Lozanastraat  170
287,20018,"het veranderen van een inrichting, met precisering dat het betreft",1,Crown Cork Company Belgium (Packaging Division),Merksemsesteenweg-Belcrownlaan,148,,,DE,2100,Antwerpen,11012_A_0143_D_000_00,Merksemsesteenweg-Belcrownlaan  148
288,20019,de exploitatie van een nieuwe inrichting,2,,Diksmuidelaan,312,,,BE,2600,Antwerpen,11302_A_0314_P_003_00,Diksmuidelaan  312
289,20021,"het veranderen van een inrichting, met precisering dat het betreft",2,Rapid Container Services,Antwerpsebaan,56,,,,2040,Antwerpen,11818_C_0097___000_04,Antwerpsebaan  56
290,20022,"de mededeling van een kleine verandering van een bestaande inrichting eerste of tweede klasse, omvattende",1,Stordiau,Frans Van Hombeeckplein,37,39,,BE,2600,Antwerpen,11303_B_0441_M_006_00,Frans Van Hombeeckplein  37
291,20023,"de mededeling van een kleine verandering van een bestaande inrichting eerste of tweede klasse, omvattende",1,Solvay nv,Scheldelaan,480,,,BZL,2040,Antwerpen,11818_A_0061_L_000_00,Scheldelaan  480
292,20024,het hernieuwen van een vergunning voor een bestaande inrichting,2,Music All Inn BVBA,Cogelsplein,7,9,,DE,2100,Antwerpen,11343_A_0722_B_002_00,Cogelsplein  7
293,20025,"de mededeling van een kleine verandering van een bestaande inrichting eerste of tweede klasse, omvattende",1,Solvay nv,Scheldelaan,480,,,BZL,2040,Antwerpen,11818_A_0061_L_000_00,Scheldelaan  480
294,20026,"de mededeling van een kleine verandering van een bestaande inrichting eerste of tweede klasse, omvattende",1,Solvay nv,Scheldelaan,480,,,BZL,2040,Antwerpen,11818_A_0061_L_000_00,Scheldelaan  480
